date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:20	95815/95815	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2021:30:36%20GMT	https://pixelwibes.com/template/ebazar/html/dist/index.html	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/index.html	(from )
11:03:21	113/113	---M-Z	200	added ('OK')	text/plain	etag:%22580d76-76-5f95ba2108b71-gzip%22	https://pixelwibes.com/robots.txt		(from )
11:03:21	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Wed,%2017%20Jul%202024%2021:30:36%20GMT	https://pixelwibes.com/template/ebazar/html/dist/favicon.ico	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/favicon.ico	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
11:03:22	3929/3929	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2021:30:44%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
11:03:22	5384/5384	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2021:30:44%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
11:03:23	71434/71434	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2021:30:38%20GMT	https://pixelwibes.com/template/ebazar/html/dist/product-grid.html	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/product-grid.html	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
11:03:23	422031/422031	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2021:47:26%20GMT	https://pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
11:03:23	98516/98516	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2021:30:38%20GMT	https://pixelwibes.com/template/ebazar/html/dist/product-list.html	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/product-list.html	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
11:03:23	101793/101793	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2021:30:38%20GMT	https://pixelwibes.com/template/ebazar/html/dist/product-edit.html	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/product-edit.html	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
11:03:23	79596/79596	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2021:30:38%20GMT	https://pixelwibes.com/template/ebazar/html/dist/product-detail.html	E:/Thietkewebsiteduan1/NT/pixelwibes.com/template/ebazar/html/dist/product-detail.html	(from https://pixelwibes.com/template/ebazar/html/dist/index.html)
